isolated prestige,isolated citations,relational prestige,relational citations,review score
"[True, True, False, True, True]","[14, 30, 514, 1672, 39932]","[False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, False, False, True, True, True]","[382, 205, 1036, 1457, 655, 17, 17328, 661, 3413, 15179, 8, 2756, 3547, 25, 5707, 1, 31, 12, 15, 1904, 920, 0, 29, 17328, 13502, 11274, 8, 0, 67856, 1, 12631, 5879, 1368, 8201]",0.6666666666666666
"[True, True, False, True]","[4, 1, 0, 1487]",[],[],0.4666666666666666
"[True, False, True, False, True, True, False, True, False]","[544, 1096, 285, 544, 4846, 366, 0, 2264, 874]","[True, True, True, True, True, True]","[1146, 219, 1146, 170, 10841, 61]",0.5333333333333333
"[True, True, False, True, False]","[69, 1, 0, 47, 0]",[],[],0.8
"[False, True, True, True]","[0, 85, 2880, 305]",[],[],0.6
"[True, True, True]","[0, 60298, 11860]","[True, True, True]","[1737, 3992, 5]",0.4
"[False, False, False]","[6, 46, 1652]",[],[],0.6
"[False, False, False, False]","[0, 11, 1994, 69]","[False, False, False, True, False]","[1952, 5810, 2, 3416, 2893]",0.6000000000000001
"[True, True, True]","[328, 2868, 0]",[],[],0.6
"[True, True, True, False]","[0, 2, 835, 708]",[],[],0.0
"[True, True, True, True, True]","[0, 0, 0, 161, 0]","[False, False, True, False, False, True, False, True]","[0, 0, 50, 461, 0, 4172, 0, 169]",0.6
"[True, False, True, True]","[4172, 0, 0, 50]","[False, False, True, False, False, True, True, True, True]","[0, 0, 0, 461, 0, 0, 169, 161, 0]",0.3
"[True, False]","[110, 0]",[],[],0.4
"[True, False, True, False, False, False, True, True]","[0, 0, 0, 0, 461, 0, 169, 0]","[True, True, False, True, True]","[50, 0, 0, 4172, 161]",0.5333333333333333
"[False, True, False, False, True, False, False, True, True]","[136, 1, 8, 163, 5, 1102, 23, 14, 108]","[False, True, False, True]","[30, 0, 173, 5]",0.5333333333333333
"[True, True, True, False]","[0, 2, 835, 708]",[],[],0.0
"[True, True, True, True, True]","[0, 0, 0, 161, 0]","[False, False, True, False, False, True, False, True]","[0, 0, 50, 461, 0, 4172, 0, 169]",0.6
"[True, False, True, True]","[4172, 0, 0, 50]","[False, False, True, False, False, True, True, True, True]","[0, 0, 0, 461, 0, 0, 169, 161, 0]",0.3
"[True, False]","[110, 0]",[],[],0.4
"[True, True, True]","[81, 75, 1082]",[],[],0.8666666666666667
"[True, True, True, True, True, True, True]","[43, 245, 72, 1080, 104, 2600, 11812]","[True, True, True, True, True, True, True, True, True, True, True, True]","[131, 35, 11812, 4764, 2904, 113, 77, 658, 3987, 393, 230, 15964]",0.39999999999999997
"[False, False, True, True, True, False, False, False]","[39600, 7021, 2, 246, 71, 343, 2813, 4762]","[True, True]","[17, 2624]",0.6666666666666666
"[False, False, False, True, False, False]","[13, 0, 653, 748, 2262, 1359]",[],[],0.4666666666666666
"[True, True, True, True, True, False, True, True, False]","[54, 270, 11, 31, 206, 454, 679, 90250, 77767]","[False, False, True, True, False, True, False, False, False, False, False, True, False, True, False, True, False, False, True, False, False, True, False, False, True, False, False, False, True, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, True, False, False, False, False, True, False, False, True, False, True, False, True, True, True, False, False, True, True, True, False, False, False, False, False, False, True, False, False, False, True, False, True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, True, False, True, True]","[160, 1708, 139, 1, 347, 514, 8134, 188, 59, 58, 7030, 3413, 709, 1078, 0, 2, 6554, 13163, 6828, 1677, 568, 3, 283, 634, 1848, 327, 0, 15, 1264, 450, 761, 68, 23, 0, 0, 333, 5138, 10, 483, 8, 3680, 34, 54, 0, 225, 114, 613, 297, 23, 0, 10, 30, 1166, 74, 47, 265, 65, 2957, 65, 32, 463, 2, 61, 580, 1198, 25, 1129, 7, 0, 23, 105, 65, 11661, 3241, 37, 12, 4, 6719, 0, 16, 116, 4892, 2294, 15648, 5138, 14638, 19, 87, 0, 15, 509, 110, 1179, 0, 4, 74, 222, 29, 124, 266, 3197, 116]",0.6000000000000001
"[False, False]","[22271, 15901]","[True, False, True, True, True, True, False, True, True, True]","[60, 781, 645, 2, 645, 88, 18623, 92, 153, 74]",0.6666666666666666
"[False, False, False, False]","[0, 3, 1749, 5956]","[True, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, True, True, False, True, False, False, False]","[4, 24, 26, 2, 286, 69, 92, 2, 982, 3143, 9037, 86, 7999, 91, 92, 286, 213, 14, 54, 11684, 5047, 1665, 39358, 86, 15897]",0.6666666666666666
"[True, True, True, True, True]","[5, 563, 92, 7604, 4764]","[True, True, True, True, True, True]","[11812, 563, 113, 393, 230, 15964]",0.5333333333333333
"[False, False, True, False, True, False]","[3, 1273, 414, 403, 3233, 162]","[False, False, False, True, False, False, True, False, True]","[4034, 0, 0, 73, 82, 991, 2722, 13970, 1]",0.39999999999999997
"[True, True, True]","[164, 448, 13642]","[False, True, True, True, True, True]","[161, 8, 929, 358, 12509, 47]",0.26666666666666666
"[True, False]","[0, 38569]",[],[],0.19999999999999998
"[False, True, True, True, False, False]","[0, 2247, 110, 198, 5488, 2285]","[True, False, True]","[158, 0, 355]",0.6666666666666666
"[True, False, True, True, True]","[2, 0, 491, 5685, 2722]","[True, False, True, True]","[2722, 66, 3, 25158]",0.5333333333333333
"[True, True, True, True, True, True, True, True]","[119, 157, 24, 2273, 172, 13296, 19558, 2008]",[],[],0.6666666666666666
"[True, True, True, True, True, True, True, True, False, True, True, True]","[354, 104, 1, 145, 1267, 963, 2667, 70, 942, 789, 4422, 24407]","[True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, False, False, True, True, True, True, False, False, True, False, True, True, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True]","[1117, 3235, 290, 166, 16817, 145, 6441, 0, 8546, 60, 4, 867, 225, 251, 4112, 58, 99, 227, 22573, 44, 20, 567, 3867, 0, 0, 350, 405, 6, 53579, 6404, 0, 6426, 774, 679, 1250, 22, 251, 376, 1, 169, 0, 2, 577, 57, 5958, 184, 11196, 1321, 9754, 3732, 0, 0, 22446, 741, 1889, 16817, 1712, 0, 963, 8, 14728, 212, 105, 1318, 671, 46, 212, 2, 1267, 31, 8804, 106, 16817, 114, 8, 24, 223]",0.7333333333333334
"[False, True, True, True, True, True]","[66, 3, 491, 5685, 25158, 2722]","[True, True, False, True, False, True]","[73, 2, 0, 2722, 403, 1]",0.7333333333333333
"[False, False, False, False]","[0, 13970, 403, 991]","[False, False, False, True, True, False, True, False, False, True, True]","[1273, 4034, 0, 414, 73, 82, 3233, 3, 162, 2722, 1]",0.7000000000000001
"[True, False, True, False, True, False, True, True]","[44, 225, 1117, 0, 8804, 4112, 24407, 4422]","[True, True, True, True, True, True, False, True, True, True, False, True, True, True, False, False, True, True, False, True, True, True, True, False, False, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, True, False, True, False, True, True, False, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True]","[3235, 290, 166, 16817, 145, 6441, 0, 8546, 60, 4, 867, 251, 58, 354, 99, 227, 22573, 20, 567, 789, 3867, 2667, 145, 0, 0, 350, 405, 1, 6, 53579, 6404, 0, 6426, 774, 679, 1250, 22, 251, 376, 1, 169, 0, 963, 104, 577, 57, 5958, 184, 11196, 1321, 9754, 3732, 0, 22446, 741, 1712, 1889, 942, 16817, 0, 963, 8, 14728, 212, 105, 70, 1318, 671, 46, 212, 2, 31, 1267, 106, 16817, 114, 8, 24, 223]",0.7333333333333334
