ego prestige,ego citations,relational prestige,relational citations,avg review score
99,17,"[201, 500, 500, 99, 500, 29, 101, 101, 75, 99, 151, 48, 99, 2, 99, 201]","[391, 0, 0, 52, 0, 22, 71, 87, 2360, 488, 42, 804, 2, 1853, 39, 20]",1.0
2,1853,"[500, 2, 4, 101, 75, 2, 2, 2, 4, 99, 27, 201, 500, 99, 4, 2, 99, 99, 4, 2, 201, 401, 29, 2, 99, 151, 48, 151, 99, 500, 101, 4, 2, 16, 99, 4]","[0, 497, 2726, 87, 2360, 18844, 1054, 12, 487, 2, 1424, 20, 0, 52, 801, 0, 92, 746, 1929, 90, 391, 647, 22, 478, 17, 42, 804, 28647, 39, 0, 71, 6953, 18844, 3180, 488, 1067]",0.6319444444444444
75,2360,"[201, 500, 500, 99, 500, 29, 101, 101, 99, 99, 151, 48, 99, 2, 99, 201]","[391, 0, 0, 52, 0, 22, 71, 87, 488, 17, 42, 804, 2, 1853, 39, 20]",1.0
500,0,"[5, 101]","[5, 1882]",0.375
5,5,"[500, 101]","[0, 1882]",0.375
101,1882,"[5, 500]","[5, 0]",0.375
13,735,"[99, 99, 99, 99, 301]","[638, 5, 74, 0, 383]",0.7777777777777778
99,5,"[99, 13, 99, 99, 301]","[638, 735, 74, 0, 383]",0.7777777777777778
99,0,"[99, 13, 99, 99, 301]","[638, 735, 5, 74, 383]",0.7777777777777778
99,74,"[99, 13, 99, 99, 301]","[638, 735, 5, 0, 383]",0.7777777777777778
301,383,"[99, 13, 99, 99, 99]","[638, 735, 5, 74, 0]",0.7777777777777778
99,638,"[99, 29, 13, 99, 99, 99, 301, 401]","[5483, 1198, 735, 5, 74, 0, 383, 793]",0.5238095238095238
50,27,"[33, 201, 99, 99, 500, 7, 99, 99, 99, 7, 11, 61, 61]","[1179, 2163, 5483, 4996, 0, 1546, 16, 244, 18, 1546, 1773, 189, 18572]",0.576388888888889
4,422,"[151, 4, 4]","[5336, 11548, 5495]",0.5555555555555556
4,5495,"[4, 151, 4]","[422, 5336, 11548]",0.5555555555555556
151,5336,"[4, 4, 4]","[422, 11548, 5495]",0.5555555555555556
