ego prestige,ego citations,relational prestige,relational citations,avg review score
90,4746,"[500, 90, 500, 99, 99]","[0, 1945, 0, 148, 0]",0.5
500,0,"[500, 90, 90, 99, 99]","[0, 1945, 4746, 148, 0]",0.5
99,0,"[500, 90, 500, 90, 99]","[0, 1945, 0, 4746, 148]",0.5
90,1945,"[500, 500, 90, 2, 90, 101, 99, 99]","[0, 0, 41, 15432, 4746, 266, 148, 0]",0.5151515151515151
101,7999,"[101, 101]","[5956, 286]",0.4
101,286,"[101, 101]","[5956, 7999]",0.4
99,0,"[99, 101, 301, 101]","[2258, 9, 16909, 4300]",0.4
101,9,"[101, 99, 301, 99, 99, 99, 38, 12]","[4300, 2258, 16909, 0, 2, 118, 796, 967]",0.30000000000000004
99,2258,"[101, 101, 301, 99, 99, 99, 38, 12]","[4300, 9, 16909, 0, 2, 118, 796, 967]",0.30000000000000004
301,16909,"[101, 99, 101, 99, 99, 99, 38, 12]","[4300, 2258, 9, 0, 2, 118, 796, 967]",0.30000000000000004
101,4300,"[99, 101, 301, 99, 99, 99, 38, 12]","[2258, 9, 16909, 0, 2, 118, 796, 967]",0.30000000000000004
500,0,"[99, 101, 101, 101]","[55, 25, 1, 2055]",0.8
99,55,"[101, 101, 500, 101]","[25, 1, 0, 2055]",0.8
101,25,"[99, 101, 500, 101]","[55, 1, 0, 2055]",0.8
99,25,"[401, 99, 99, 48]","[17859, 0, 52, 4087]",0.7
99,52,"[401, 48, 99, 99]","[17859, 4087, 0, 25]",0.7
401,17859,"[48, 99, 99, 99]","[4087, 0, 52, 25]",0.7
99,0,"[401, 48, 99, 99]","[17859, 4087, 52, 25]",0.7
48,4087,"[401, 99, 99, 99]","[17859, 0, 52, 25]",0.7
55,58,"[99, 52, 55, 55, 402, 55, 55, 99, 55]","[20, 4422, 789, 14728, 184, 24407, 31, 70, 16817]",0.7
55,14728,"[99, 52, 55, 402, 55, 55, 55, 99, 55]","[20, 4422, 789, 184, 24407, 31, 58, 70, 16817]",0.7
55,16817,"[99, 52, 55, 55, 402, 55, 55, 55, 99]","[20, 4422, 789, 14728, 184, 24407, 31, 58, 70]",0.7
99,18,"[99, 99, 15, 2, 99, 99]","[974, 4, 3665, 745, 4, 6]",0.9
99,4,"[99, 15, 2, 99, 99, 99]","[974, 3665, 745, 4, 6, 18]",0.9
99,6,"[99, 99, 15, 2, 99, 99]","[974, 4, 3665, 745, 4, 18]",0.9
99,974,"[15, 99, 2, 99, 99, 99]","[3665, 4, 745, 4, 6, 18]",0.9
99,4,"[99, 99, 15, 2, 99, 99]","[974, 4, 3665, 745, 6, 18]",0.9
15,3665,"[99, 99, 2, 99, 99, 99]","[974, 4, 745, 4, 6, 18]",0.9
2,745,"[99, 99, 15, 99, 99, 99]","[974, 4, 3665, 4, 6, 18]",0.9
55,131,"[99, 55, 55]","[104, 2600, 11812]",0.6
99,355,"[500, 52, 99]","[0, 158, 198]",0.4
52,158,"[500, 99, 99]","[0, 355, 198]",0.4
500,0,"[99, 52, 99]","[355, 158, 198]",0.4
101,1153,"[99, 500, 99, 301]","[352, 0, 599, 122]",0.5
500,0,"[99, 101, 99, 301]","[352, 1153, 599, 122]",0.5
99,599,"[99, 500, 101, 301]","[352, 0, 1153, 122]",0.5
500,0,"[101, 101, 101]","[82, 403, 4034]",0.7
101,82,"[500, 101, 101]","[0, 403, 4034]",0.7
101,4034,"[500, 101, 101]","[0, 82, 403]",0.7
99,17,"[99, 101, 99]","[3471, 22033, 441]",0.6
101,22033,"[99, 99, 99]","[3471, 17, 441]",0.6
99,3471,"[101, 99, 99]","[22033, 17, 441]",0.6
99,441,"[99, 101, 99]","[3471, 22033, 17]",0.6
38,796,"[101, 99, 101, 301, 99, 99, 12]","[4300, 2258, 9, 16909, 2, 118, 967]",0.2
99,118,"[101, 99, 101, 301, 99, 38, 12]","[4300, 2258, 9, 16909, 2, 796, 967]",0.2
12,967,"[101, 99, 101, 301, 99, 99, 38]","[4300, 2258, 9, 16909, 2, 118, 796]",0.2
99,2,"[101, 99, 101, 301, 99, 38, 12]","[4300, 2258, 9, 16909, 118, 796, 967]",0.2
101,0,[101],[2870],0.7
99,48,"[99, 101, 32, 2, 31, 16, 201, 99, 99]","[922, 188, 980, 1738, 16591, 7033, 863, 1515, 181]",0.7
2,1738,"[99, 101, 32, 31, 16, 99, 201, 99, 99]","[922, 188, 980, 16591, 7033, 48, 863, 1515, 181]",0.7
99,181,"[99, 101, 32, 2, 31, 16, 99, 201, 99]","[922, 188, 980, 1738, 16591, 7033, 48, 863, 1515]",0.7
101,188,"[99, 32, 2, 31, 16, 99, 201, 99, 99]","[922, 980, 1738, 16591, 7033, 48, 863, 1515, 181]",0.7
32,980,"[99, 101, 2, 31, 16, 99, 201, 99, 99]","[922, 188, 1738, 16591, 7033, 48, 863, 1515, 181]",0.7
16,7033,"[99, 101, 32, 2, 31, 99, 201, 99, 99]","[922, 188, 980, 1738, 16591, 48, 863, 1515, 181]",0.7
31,16591,"[99, 101, 32, 2, 16, 99, 201, 99, 99]","[922, 188, 980, 1738, 7033, 48, 863, 1515, 181]",0.7
99,1515,"[99, 101, 32, 2, 31, 16, 99, 201, 99]","[922, 188, 980, 1738, 16591, 7033, 48, 863, 181]",0.7
201,863,"[99, 101, 32, 2, 31, 16, 99, 99, 99]","[922, 188, 980, 1738, 16591, 7033, 48, 1515, 181]",0.7
99,922,"[101, 32, 2, 31, 16, 99, 201, 99, 99]","[188, 980, 1738, 16591, 7033, 48, 863, 1515, 181]",0.7
99,3,"[54, 301]","[1002, 122]",0.5
54,1002,"[99, 301]","[3, 122]",0.5
55,577,"[301, 401, 301]","[3696, 35766, 1606]",0.2
301,3696,"[55, 401, 301]","[577, 35766, 1606]",0.2
301,1606,"[301, 55, 401]","[3696, 577, 35766]",0.2
401,35766,"[301, 55, 301]","[3696, 577, 1606]",0.2
401,6404,"[99, 52, False, 402, 55]","[1, 4422, 0, 184, 31]",0.6000000000000001
17,0,"[99, 17, 99, 99, 99]","[5, 136, 31, 16, 4]",0.4
99,16,"[99, 17, 99, 17, 99]","[5, 136, 31, 0, 4]",0.4
99,5,"[17, 99, 99, 17, 99]","[136, 31, 16, 0, 4]",0.4
99,31,"[99, 17, 99, 17, 99]","[5, 136, 16, 0, 4]",0.4
99,4,"[99, 17, 99, 99, 17]","[5, 136, 31, 16, 0]",0.4
17,136,"[99, 99, 99, 17, 99]","[5, 31, 16, 0, 4]",0.4
301,64,"[401, 201, 401, 301]","[1242, 2483, 2, 1]",0.5555555555555556
401,2,"[201, 301, 301, 201, 201, 101, 401, 99, 401]","[986, 1, 64, 2884, 2483, 3811, 897, 146, 1242]",0.5
301,1,"[401, 201, 401, 301]","[1242, 2483, 2, 64]",0.5555555555555556
201,2483,"[401, 301, 301, 201, 301, 401, 201, 401, 401, 201, 401, 201]","[2, 1, 64, 5106, 2211, 1879, 33, 0, 1242, 13588, 201, 2002]",0.4722222222222222
401,1242,"[201, 401, 301, 301]","[2483, 2, 1, 64]",0.5555555555555556
151,45306,"[4, 25, 99, 25, 151, 4, 4, 4, 99, 101, 4, 4, 2, 99, 4, 99, 401, 4, 4, 4, 99, 99]","[1539, 50207, 2, 142, 1358, 707, 116, 328, 9, 5047, 248, 25, 10045, 30, 48, 2768, 5532, 8201, 41, 171, 350, 32]",0.5684754521963825
4,41,"[4, 4, 151]","[8201, 116, 45306]",0.6031746031746031
4,116,"[4, 4, 151]","[8201, 41, 45306]",0.6031746031746031
401,825,[],[],0.5555555555555556
40,0,[],[],0.3333333333333333
99,11,"[99, 101, 101, 101, 64, 101, 101, 84]","[0, 14638, 12087, 136, 1174, 13, 1, 18]",0.6666666666666669
84,18,"[99, 101, 101, 101, 64, 101, 101, 99]","[0, 14638, 12087, 136, 1174, 13, 1, 11]",0.6666666666666669
101,13,"[99, 101, 101, 101, 64, 101, 84, 99]","[0, 14638, 12087, 136, 1174, 1, 18, 11]",0.6666666666666669
101,1,"[99, 101, 101, 101, 64, 101, 84, 99]","[0, 14638, 12087, 136, 1174, 13, 18, 11]",0.6666666666666669
99,0,"[101, 101, 101, 64, 101, 101, 84, 99]","[14638, 12087, 136, 1174, 13, 1, 18, 11]",0.6666666666666669
101,136,"[99, 101, 101, 64, 101, 101, 84, 99]","[0, 14638, 12087, 1174, 13, 1, 18, 11]",0.6666666666666669
64,1174,"[99, 101, 101, 101, 101, 101, 84, 99]","[0, 14638, 12087, 136, 13, 1, 18, 11]",0.6666666666666669
101,12087,"[25, 99, 101, 6, 5, 1, 101, 64, 25, 101, 25, 101, 99, 25, 201, 84, 99]","[244, 0, 14638, 49, 2474, 21690, 136, 1174, 1313, 13, 6981, 1, 12, 128, 3634, 18, 11]",0.6481481481481483
101,14638,"[101, 2, 99, 101, 99, 101, 99, 301, 101, 101, 99, 403, 99, 101, 101, 101, 13, 500, 101, 99, 101, 99, 101, 61, 101, 101, 99, 99, 101, 101, 64, 101, 101, 101, 201, 1, 101, 101, 2, 101, 64, 10, 99, 101, 101, 64, 301, 201, 99, 101, 99, 101, 101, 101, 64, 101, 64, 201, 101, 201, 61, 101, 101, 101, False, 101, 101, 101, 27, 101, 84]","[87, 3197, 65, 12087, 1058, 64, 60, 1117, 37, 24, 580, 915, 2, 37, 509, 4892, 1619, 0, 4, 2, 20, 52, 517, 4874, 463, 613, 37, 2957, 545, 1, 148, 4, 8, 0, 709, 15, 1307, 188, 188, 10, 1174, 4, 1264, 3241, 89, 3680, 50, 1967, 11, 34, 0, 147, 222, 2294, 51, 136, 123, 1967, 65, 212, 139, 13, 5138, 74, 0, 266, 568, 8, 704, 77767, 18]",0.6003086419753086
75,2658,"[201, 151, 101, 151, 301]","[1612, 398, 1910, 2488, 18621]",0.38888888888888884
101,1910,"[201, 75, 151, 301, 151]","[1612, 2658, 2488, 18621, 398]",0.38888888888888884
201,1612,"[151, 75, 101, 151, 301]","[398, 2658, 1910, 2488, 18621]",0.38888888888888884
151,398,"[201, 75, 101, 151, 301]","[1612, 2658, 1910, 2488, 18621]",0.38888888888888884
151,2488,"[201, 75, 101, 151, 301]","[1612, 2658, 1910, 398, 18621]",0.38888888888888884
2,1,[2],[1],0.4444444444444444
2,1,[2],[1],0.4444444444444444
401,2917,"[99, 99]","[13, 1]",0.4444444444444444
99,1,"[99, 401]","[13, 2917]",0.4444444444444444
99,13,"[99, 401]","[1, 2917]",0.4444444444444444
500,0,"[2, 2]","[9970, 394]",0.25925925925925924
2,394,"[500, 2]","[0, 9970]",0.25925925925925924
101,5415,"[151, 27, 27]","[8183, 272, 6719]",0.5555555555555556
27,6719,"[99, 99, 99, 99, 49, 27, 101, 27, 151, 101, 27, 101, 151, 25, 201, 49, 500, 401, 101, 27, 101]","[61, 77, 2518, 163, 248, 352, 2294, 272, 34698, 5415, 24616, 110, 8183, 534, 15, 287, 0, 16753, 74, 1863, 77767]",0.45185185185185184
27,272,"[151, 101, 27]","[8183, 5415, 6719]",0.5555555555555556
151,8183,"[27, 101, 101, 27, 2, 12, 151]","[272, 2671, 5415, 6719, 11636, 887, 166]",0.5925925925925926
99,4021,"[500, 99, 99, 99, 85, 101]","[0, 430, 0, 0, 301, 6710]",0.4126984126984127
401,47,[401],[5789],0.3333333333333333
401,5789,[401],[47],0.3333333333333333
401,8,"[151, 401, 401, 301]","[287, 10, 246, 2161]",0.16666666666666666
401,246,"[151, 401, 401, 301]","[287, 8, 10, 2161]",0.16666666666666666
151,287,"[301, 401, 401, 401]","[2161, 8, 10, 246]",0.16666666666666666
301,2161,"[151, 401, 401, 401]","[287, 8, 10, 246]",0.16666666666666666
401,10,"[151, 401, 401, 301]","[287, 8, 246, 2161]",0.16666666666666666
401,2296,[],[],0.4074074074074074
61,25,[61],[402],0.40740740740740744
61,402,[61],[25],0.40740740740740744
99,128,[151],[8707],0.5185185185185185
151,8707,"[151, 151, 151, 99, 151, 151, 151]","[8, 83, 4, 128, 2816, 31, 115]",0.5972222222222222
301,13434,"[99, 201]","[24, 287]",0.5185185185185185
99,24,"[301, 201]","[13434, 287]",0.5185185185185185
201,287,"[301, 99]","[13434, 24]",0.5185185185185185
99,95,"[99, 99, 5, 25, 99, 99, 99]","[99, 537, 48334, 19770, 19, 63, 1]",0.4444444444444445
99,99,"[99, 5, 25, 99, 5, 5, 99]","[537, 48334, 19770, 19, 1, 48334, 95]",0.5777777777777777
25,19770,"[99, 99, 5, 99, 99]","[99, 537, 48334, 19, 95]",0.5185185185185185
99,537,"[99, 5, 25, 99, 99, 99, 99]","[99, 48334, 19770, 19, 63, 1, 95]",0.4444444444444445
5,48334,"[99, 99, 25, 99, 99]","[99, 537, 19770, 19, 95]",0.5185185185185185
38,2,"[38, 38, 38]","[10551, 178, 490]",0.6296296296296297
38,178,"[38, 38, 38]","[2, 10551, 490]",0.6296296296296297
38,10551,"[38, 38, 38]","[2, 178, 490]",0.6296296296296297
38,490,"[38, 38, 38]","[2, 10551, 178]",0.6296296296296297
151,18354,[99],[1135],0.5555555555555555
99,1135,[151],[18354],0.5555555555555555
99,2,"[86, 86]","[591, 47]",0.3333333333333333
86,47,"[86, 99]","[591, 2]",0.3333333333333333
86,591,"[101, 99, 99, 99, 99, 86, 86, 2, 86]","[40, 24, 2, 40, 2, 162, 4, 105, 47]",0.537037037037037
99,3,"[99, 151, 2, 99]","[3, 2488, 342, 2]",0.5555555555555555
2,342,"[99, 99, 99, 151]","[2, 3, 3, 2488]",0.5555555555555555
99,3,"[99, 99, 2, 151]","[2, 3, 342, 2488]",0.5555555555555555
99,2,"[99, 99, 2, 151]","[3, 3, 342, 2488]",0.5555555555555555
151,2488,"[99, 99, 2, 99]","[3, 3, 342, 2]",0.5555555555555555
151,57,[99],[6],0.4444444444444444
99,6,[151],[57],0.4444444444444444
4,19,"[90, 401]","[309, 3361]",0.5555555555555556
90,309,"[99, 151, 4, 90, 401, 99]","[39, 136, 19, 2466, 3361, 8]",0.6444444444444444
401,3361,"[99, 151, 4, 90, 90, 99]","[39, 136, 19, 2466, 309, 8]",0.6444444444444444
25,4,"[25, 25]","[11, 1075]",0.5
25,11,"[25, 25]","[1075, 4]",0.5
25,1075,"[151, 25, 25, 25, 40, 25, 25, 25, 25, 201, 500, 25]","[2670, 12, 11855, 15, 1, 142, 25, 8, 11, 392, 0, 4]",0.5686274509803921
99,574,"[301, 99, 99]","[581, 71, 115]",0.3333333333333333
301,581,"[99, 99, 99]","[115, 71, 574]",0.3333333333333333
99,115,"[301, 99, 99]","[581, 71, 574]",0.3333333333333333
99,71,"[301, 99, 99]","[581, 115, 574]",0.3333333333333333
16,41,"[99, 500, 301]","[537, 0, 1134]",0.18518518518518515
500,0,"[99, 301, 16]","[537, 1134, 41]",0.18518518518518515
301,1134,"[99, 500, 16]","[537, 0, 41]",0.18518518518518515
99,537,"[301, 500, 16]","[1134, 0, 41]",0.18518518518518515
201,2002,"[201, 301, 201, 401, 201, 401, 201, 401]","[5106, 2211, 2483, 1879, 33, 0, 13588, 201]",0.4444444444444445
301,2211,"[201, 201, 401, 401, 201]","[5106, 2483, 1879, 201, 2002]",0.6296296296296297
401,201,"[201, 201, 301, 401, 201]","[5106, 2483, 2211, 1879, 2002]",0.6296296296296297
401,1879,"[201, 301, 201, 201, 401, 201, 401, 201]","[5106, 2211, 2483, 33, 0, 13588, 201, 2002]",0.4444444444444445
201,5106,"[301, 201, 401, 401, 201]","[2211, 2483, 1879, 201, 2002]",0.6296296296296297
401,223,"[4, 4]","[18208, 18]",0.5555555555555556
4,18,"[4, 401]","[18208, 223]",0.5555555555555556
4,18208,"[4, 201, 4, 4, 99, 401, 61, 4, 401, 4, 99, 4, 4, 101, 99, 201, 61, 201, 4, 4, 50, 101, 4, 4, 401, 4, 6, 99]","[70, 382, 115, 18, 4898, 223, 0, 6, 488, 7447, 14, 2521, 224, 16801, 3978, 1181, 6446, 17879, 331, 4, 1638, 409, 28127, 37, 246, 409, 6, 684]",0.5274431057563587
5,1,"[5, 99]","[48334, 99]",0.6666666666666666
5,48334,"[5, 99, 99, 5]","[1841, 99, 438, 1]",0.5079365079365079
8,0,[13],[11178],0.3703703703703703
13,11178,[8],[0],0.3703703703703703
99,2,"[64, 99, 99]","[5919, 71, 67]",0.5555555555555556
99,67,"[101, 40, 500, 101, 64, 99, 99, 99]","[2164, 621, 0, 3018, 5919, 71, 390, 2]",0.492063492063492
99,71,"[64, 99, 99]","[5919, 2, 67]",0.5555555555555556
64,5919,"[101, 40, 500, 101, 99, 99, 99, 99]","[2164, 621, 0, 3018, 71, 390, 2, 67]",0.492063492063492
101,517,"[101, 99, 2, 99, 301, 99, 99, 99]","[14638, 1058, 203, 60, 1117, 580, 2, 455]",0.5185185185185185
2,203,"[99, 5, 99, 99, 13, 2, 101, 101, 54, 27, 101, 500, 1, 99]","[97, 3033, 14, 22, 84, 707, 48, 517, 209, 46, 7515, 0, 592, 455]",0.4920634920634921
99,455,"[99, 5, 13, 2, 101, 54, 2, 5, 99, 500, 2, 25, 4]","[6, 3033, 84, 188, 517, 209, 203, 1502, 4132, 0, 149, 26, 19]",0.43703703703703695
99,1,"[99, 99]","[3991, 393]",0.3703703703703703
99,393,"[99, 99]","[1, 3991]",0.3703703703703703
99,3991,"[99, 99]","[1, 393]",0.3703703703703703
5,98,"[5, 5, 5]","[82, 86, 815]",0.5555555555555556
5,34,"[99, 500, 5, 5, 99, 5]","[325, 0, 815, 48334, 3218, 230]",0.4682539682539683
99,3218,"[99, 11, 5, 99, 301, 5, 4, 2, 16, 27]","[0, 649, 34, 603, 372, 230, 63, 1863, 18295, 636]",0.6315789473684209
5,230,"[99, 27, 99, 5]","[3218, 35, 1452, 34]",0.6
4,361,"[301, 301, 4, 4]","[2412, 13304, 2058, 16716]",0.5555555555555556
301,2412,"[4, 301, 4, 4]","[361, 13304, 16716, 2058]",0.5555555555555556
301,13304,"[4, 301, 4, 4]","[361, 2412, 16716, 2058]",0.5555555555555556
4,2058,"[2, 2, 4, 301, 301, 2, 4]","[43707, 2432, 361, 13304, 2412, 43, 16716]",0.46296296296296297
4,16716,"[4, 301, 301, 4]","[361, 2412, 13304, 2058]",0.5555555555555556
402,108,[402],[5091],0.48148148148148145
402,5091,[402],[108],0.48148148148148145
500,0,"[84, 201]","[382, 156]",0.48148148148148157
201,156,"[84, 500]","[382, 0]",0.48148148148148157
84,382,"[201, 84, 84, 500, 84]","[156, 6, 35, 0, 3]",0.5061728395061729
500,0,"[201, 500]","[807, 0]",0.5555555555555556
500,0,"[201, 500]","[807, 0]",0.5555555555555556
201,807,"[500, 500]","[0, 0]",0.5555555555555556
99,3,"[99, 49]","[3, 178]",0.2222222222222222
99,3,"[49, 99]","[178, 3]",0.2222222222222222
49,178,"[99, 99]","[3, 3]",0.2222222222222222
99,36,"[401, 85, 101, 99, 99]","[40, 301, 6710, 36, 0]",0.5555555555555556
401,40,"[99, 85, 101, 99, 99]","[36, 301, 6710, 36, 0]",0.5555555555555556
99,0,"[99, 401, 85, 101, 99]","[36, 40, 301, 6710, 36]",0.5555555555555556
85,301,"[99, 500, 99, 99, 401, 99, 101, 99, 99, 500, 99]","[36, 0, 430, 0, 40, 0, 6710, 4021, 36, 0, 0]",0.4731182795698924
99,8,"[99, 2, 27]","[246, 1035, 10456]",0.5925925925925927
99,246,"[99, 99, 151, 5, 25, 201, 10, 99, 99, 5, 2, 26, 101, 2, 27]","[19, 8, 844, 3033, 109247, 6744, 1647, 10, 32, 1247, 22, 132, 230, 1035, 10456]",0.5401234567901236
2,1035,"[101, 99, 99, 101, 61, 5, 99, 6, 27]","[1528, 246, 8, 14437, 81, 479, 215, 192, 10456]",0.5679012345679013
27,10456,"[301, 99, 101, 2, 25, 61, 2, 101, 6, 12, 15, 99, 99, 2, 49, 201, 84, 99, 101, 500, 99, 99, 99, 61, 2, 99, 500, 101, 99, 2, 99, 101, 99, 2, 93, 25, 61, 29]","[567, 246, 14437, 1035, 50207, 81, 707, 289, 192, 9896, 29166, 1217, 31, 1035, 170, 6744, 310, 10, 53, 8, 12, 8, 19, 621, 1384, 23, 0, 12916, 215, 22, 89, 1528, 16, 70, 12451, 1718, 621, 10]",0.5254901960784314
61,53,[61],[7623],0.6666666666666666
61,7623,[61],[53],0.6666666666666666
40,54,"[5, 201]","[3190, 3173]",0.5185185185185185
201,3173,"[5, 40]","[3190, 54]",0.5185185185185185
5,3190,"[40, 201]","[54, 3173]",0.5185185185185185
101,1,"[99, 99, 101]","[255, 2, 416]",0.4444444444444444
99,2,"[99, 101, 101]","[255, 1, 416]",0.4444444444444444
101,416,"[101, 99, 99, 500, 99, 101, 99]","[1, 2023, 2, 0, 255, 1, 259]",0.41666666666666663
99,255,"[101, 101, 99, 99, 500, 101, 99]","[416, 1, 2023, 2, 0, 1, 259]",0.41666666666666663
101,1,"[101, 99, 500, 99, 99]","[416, 2023, 0, 255, 259]",0.4
99,259,"[99, 101, 99, 101]","[255, 1, 2023, 416]",0.3703703703703704
99,2023,"[101, 101, 500, 99, 99]","[416, 1, 0, 255, 259]",0.4
25,25,"[201, 25, 25]","[392, 1075, 15]",0.5
201,392,"[25, 25, 25]","[15, 1075, 25]",0.5
25,15,"[25, 40, 25, 25, 201, 25]","[1075, 1, 142, 25, 392, 12]",0.6
201,2824,"[101, 101, 401, 99, 99, 500]","[67323, 4419, 37, 1566, 2972, 0]",0.4074074074074074
99,1566,"[500, 101, 101, 401, 99, 201]","[0, 67323, 4419, 37, 2972, 2824]",0.4074074074074074
500,0,"[101, 101, 401, 99, 99, 201]","[67323, 4419, 37, 1566, 2972, 2824]",0.4074074074074074
99,2972,"[500, 101, 101, 401, 99, 201]","[0, 67323, 4419, 37, 1566, 2824]",0.4074074074074074
401,37,"[500, 101, 101, 99, 99, 201]","[0, 67323, 4419, 1566, 2972, 2824]",0.4074074074074074
101,67323,"[500, 101, 401, 99, 99, 201]","[0, 4419, 37, 1566, 2972, 2824]",0.4074074074074074
101,4419,"[500, 101, 401, 99, 99, 201]","[0, 67323, 37, 1566, 2972, 2824]",0.4074074074074074
500,0,"[101, 101, 101, 101, 99, 101]","[613, 568, 65, 10, 1078, 77767]",0.40740740740740744
101,613,"[99, 101, 101, 101, 101, 201, 101, 101, 101, 101, 101, 101, 101, 101, 99, 101, 500]","[116, 10, 14638, 24, 2294, 58, 23, 568, 77767, 65, 243, 7030, 89, 10, 1078, 1, 0]",0.542483660130719
101,568,"[101, 101, 99, 201, 201, 101, 25, 101, 101, 101, 101, False, 101, 64, 101, 99, 500]","[14638, 20, 50, 58, 1967, 613, 5, 10, 65, 77767, 65, 0, 37, 148, 10, 1078, 0]",0.46825396825396826
99,1078,"[500, 201, 101, 101, 500, 101, 101, 99, 101, 500]","[0, 58, 613, 568, 0, 77767, 65, 24, 10, 0]",0.5185185185185186
61,92,"[61, 61, 61]","[92, 25431, 134]",0.6296296296296297
61,92,"[61, 99, 5, 61, 61, 99, 83, 61]","[11048, 5701, 8832, 134, 92, 4996, 923, 25431]",0.6455026455026455
61,134,"[61, 61, 61]","[25431, 92, 92]",0.6481481481481481
61,25431,"[61, 25, 29, 77, 25, 25, 99, 500, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 401, 61, 500, 25, 61, 61, 61]","[146, 2165, 3133, 1638, 142, 0, 3336, 0, 88, 92, 114, 10841, 0, 92, 117, 85, 248, 1055, 2859, 134, 0, 90, 7623, 979, 71]",0.539426523297491
99,6,"[2, 99, 301, 5]","[188, 455, 446, 1502]",0.6888888888888889
301,446,[99],[6],0.6111111111111112
401,1029,"[99, 99, 101, 99, 2, 31, 201, 9]","[23, 27, 3, 230, 3627, 191, 57651, 9289]",0.4640522875816993
101,3,"[99, 401, 101, 101]","[230, 1029, 7, 199]",0.6507936507936508
99,230,"[101, 401]","[3, 1029]",0.5555555555555556
99,11,"[401, 101, 101]","[52, 5555, 297]",0.5555555555555556
401,52,"[99, 101]","[11, 5555]",0.6666666666666667
101,5555,"[99, 401, 101]","[11, 52, 297]",0.5555555555555556
201,0,"[201, 85]","[0, 202]",0.38888888888888884
201,0,"[85, 201]","[202, 0]",0.38888888888888884
85,202,"[201, 201]","[0, 0]",0.38888888888888884
99,0,[27],[347],0.6296296296296297
27,347,[99],[0],0.6296296296296297
86,4,"[101, 99, 86, 2, 86]","[40, 40, 162, 105, 591]",0.6666666666666666
2,105,"[101, 99, 86, 86, 86]","[40, 40, 162, 4, 591]",0.6666666666666666
86,162,"[101, 99, 86, 2, 86]","[40, 40, 4, 105, 591]",0.6666666666666666
99,40,"[101, 99, 99, 86, 86, 2, 86]","[40, 24, 2, 162, 4, 105, 591]",0.5777777777777777
101,40,"[99, 99, 99, 86, 86, 2, 86]","[24, 2, 40, 162, 4, 105, 591]",0.5777777777777777
401,1816,"[500, 93]","[0, 6265]",0.3703703703703704
93,6265,"[500, 401]","[0, 1816]",0.3703703703703704
500,0,"[401, 93]","[1816, 6265]",0.3703703703703704
101,2588,"[99, 27, 64, 64, 27, 12]","[65, 579, 3, 3680, 24219, 2549]",0.5111111111111112
64,3,"[64, 101]","[3680, 2588]",0.6296296296296297
64,3680,"[101, 64, 99, 101, 500, 101, 101, 64, 101, 99, 99, 64, 64, 64, 101, 201, 64, 64, 64, 2, 101]","[87, 3, 36, 509, 0, 2588, 14638, 2, 463, 37, 0, 33, 13, 12, 3241, 4208, 53, 12, 8, 3197, 77767]",0.3421052631578948
500,0,[86],[3],0.5185185185185185
86,3,"[99, 86, 500, 86]","[101, 4230, 0, 398]",0.5476190476190476
99,11,"[13, 29, 301, 500]","[214, 11728, 1063, 0]",0.6419753086419752
301,1063,"[99, 13, 500]","[11, 214, 0]",0.6296296296296297
13,214,"[99, 301, 29, 500]","[11, 1063, 11728, 0]",0.6370370370370371
500,0,"[13, 99, 301]","[214, 11, 1063]",0.6296296296296297
500,0,"[99, 99, 401, 99]","[45, 2, 20, 1165]",0.4074074074074074
401,20,"[500, 99, 99, 99]","[0, 45, 2, 1165]",0.4074074074074074
99,2,"[500, 99, 401, 99]","[0, 45, 20, 1165]",0.4074074074074074
99,45,"[500, 99, 401, 99]","[0, 2, 20, 1165]",0.4074074074074074
99,1165,"[500, 99, 99, 401]","[0, 45, 2, 20]",0.4074074074074074
99,120,[99],[2487],0.6666666666666666
99,2487,"[99, 99, 99, 99]","[40, 329, 720, 120]",0.5942028985507246
99,2,"[101, 99, 86, 99]","[40, 24, 591, 40]",0.5555555555555555
99,24,"[101, 86, 99, 99]","[40, 591, 2, 40]",0.5555555555555555
16,278,"[101, 99, 25, 99, 99]","[1304, 110, 4, 1, 2]",0.5185185185185185
25,4,"[101, 99, 16, 99, 99]","[1304, 110, 278, 1, 2]",0.5185185185185185
99,1,"[101, 99, 25, 16, 99]","[1304, 110, 4, 278, 2]",0.5185185185185185
99,2,"[101, 99, 25, 16, 99]","[1304, 110, 4, 278, 1]",0.5185185185185185
99,110,"[101, 25, 16, 99, 99]","[1304, 4, 278, 1, 2]",0.5185185185185185
101,1304,"[99, 25, 16, 99, 99]","[110, 4, 278, 1, 2]",0.5185185185185185
101,114,"[401, 101, 151, 101]","[30, 77767, 13163, 59]",0.2962962962962963
101,59,"[401, 101, 101, 151]","[30, 77767, 114, 13163]",0.2962962962962963
151,13163,"[101, 101, 401, 101]","[77767, 114, 30, 59]",0.2962962962962963
401,30,"[101, 101, 151, 101]","[77767, 114, 13163, 59]",0.2962962962962963
201,79,"[99, 99, 101, 99]","[3, 4, 26, 3]",0.48148148148148145
99,3,"[99, 99, 101, 99, 201]","[3, 4, 26, 3, 79]",0.4888888888888889
101,26,"[99, 99, 99, 99, 201]","[3, 4, 3, 3, 79]",0.4888888888888889
99,4,"[99, 101, 99, 99, 201]","[3, 26, 3, 3, 79]",0.4888888888888889
