isolated prestige,isolated citations,relational prestige,relational citations,review score
"[True, False, False, False]","[732, 0, 0, 980]","[True, False, True, True, True, True, True]","[9, 1019, 13, 14, 6, 8834, 2]",0.48148148148148157
"[True, True, True, True]","[86, 98, 82, 815]","[True, True, True, True, True, True, False, True, True, True, True, True, False, False, True]","[60, 3413, 34, 325, 83, 5511, 0, 38, 37, 19312, 284, 48334, 1307, 3718, 244]",0.5555555555555555
"[False, True]","[139, 491]","[True, True, False]","[12, 91, 3]",0.5925925925925924
"[True, False, True, True]","[4, 44, 3011, 2931]",[],[],0.5185185185185185
"[True, True, True]","[311, 1735, 5064]",[],[],0.8148148148148148
"[True, False, True]","[74, 17195, 53]",[],[],0.8148148148148148
"[True, True, True, True, True, True, True]","[7, 7, 1482, 7, 69, 230, 906]",[False],[3159],0.6666666666666666
"[True, True, True, True]","[963, 386, 19, 13]",[],[],0.5925925925925926
"[False, True, True, True]","[10, 4, 265, 133]","[False, True]","[0, 99]",0.3333333333333333
"[True, True]","[1885, 348]","[True, True]","[587, 7]",0.7037037037037037
"[True, True, False, False, True, True]","[659, 40, 152, 0, 29, 1217]","[True, True, False, True, True, True, True, True, True, False, False, True, True, True, True, False, False, True, True, True, True, True, False, True]","[8, 74, 289, 9896, 10456, 89, 21, 1718, 304, 48, 1146, 147, 956, 10, 677, 53, 668, 645, 109247, 960, 116, 50207, 55, 1141]",0.7037037037037037
"[False, False, False, False]","[0, 6694, 746, 199]","[False, False, True, False, False]","[7748, 3, 1, 5501, 7]",0.33333333333333326
"[True, True, False]","[7, 147, 13789]","[True, True, False, True, True]","[2549, 80, 4947, 517, 167]",0.6666666666666666
"[True, True, True, True]","[34, 13, 22, 1062]","[True, True, True]","[347, 2209, 420]",0.5925925925925926
"[True, True, True, False, False]","[35, 3, 1, 1221, 22379]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[312, 4989, 325, 704, 230, 4018, 16, 24687, 8267, 6513, 42996, 162, 878, 1252]",0.4074074074074074
"[True, False, True, True, True, True]","[310, 8, 621, 23, 10456, 29166]","[True, True, True, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False]","[0, 621, 16, 289, 9896, 1384, 1528, 0, 1718, 19, 12451, 22, 12, 1035, 53, 72, 81, 10456, 8, 70, 215, 12916, 31, 14437, 1035, 707, 1141, 192, 567, 9, 16, 89, 1217, 170, 10, 246, 199, 133, 12, 109247, 6744, 10, 50207, 310, 0]",0.5555555555555555
"[True, True, True]","[13, 12, 3680]","[True, False, True, True, False, False, True, False, False, False, True, False, True, True, True, True, True, False, False]","[37, 0, 33, 3, 77767, 14638, 36, 2588, 87, 463, 8, 509, 2, 0, 12, 3197, 53, 4208, 3241]",0.22222222222222224
"[False, False, False, False]","[50, 709, 4, 14638]","[False, False, True, True, False, True, False, False, False, True, False, True, True, True, False, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, True, False, True, False, False, True, True, False, False, False, True, True, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, True, True]","[5138, 20, 1174, 139, 545, 51, 188, 1307, 136, 11, 0, 52, 15, 2, 568, 4, 18, 37, 1264, 0, 10, 0, 1619, 148, 3680, 89, 2, 34, 65, 1117, 704, 37, 613, 64, 0, 212, 1166, 517, 77767, 65, 2957, 24, 463, 13, 580, 60, 1198, 8, 2294, 188, 12087, 0, 8, 1967, 3241, 37, 4, 915, 4892, 147, 87, 1, 509, 1967, 1179, 74, 222, 266, 124, 3197, 123, 1058, 4874]",0.7037037037037037
"[True, True, True]","[25, 969, 7632]","[True, True]","[50207, 2413]",0.7037037037037037
"[True, False, False]","[44, 4052, 4505]","[True, True, False, True, True, True, True, True]","[6942, 23, 31, 6055, 514, 8832, 207, 13]",0.4444444444444444
"[True, True, True]","[538, 64, 1152]",[],[],0.4074074074074074
"[False, True, True, False, True]","[0, 0, 0, 19, 6729]",[True],[0],0.48148148148148145
"[False, True, False, True]","[1, 25, 187, 3203]",[],[],0.3703703703703704
"[True, True]","[119, 16516]",[True],[180],0.6666666666666666
"[False, True, True, True, True]","[723, 30, 6, 1019, 3309]","[True, True, True, True]","[583, 365, 479, 27]",0.5555555555555556
"[True, True, True]","[132, 45, 11636]","[True, False, False, True, False, True, True, False, True, True, False, False, False, True, True]","[0, 0, 2671, 2721, 0, 79, 1873, 94, 130, 887, 723, 166, 8183, 126, 121]",0.6666666666666666
"[False, False, True, False]","[2002, 5966, 16, 17160]","[False, False, True, False, False, False]","[59, 1552, 103, 1266, 10093, 639]",0.4814814814814814
"[False, False, False]","[59057, 8483, 1606]",[],[],0.48148148148148145
"[True, True, True]","[8, 2, 3439]","[True, True, True]","[449, 76, 2]",0.22222222222222224
"[True, True, True, True]","[929, 358, 13642, 12509]","[False, True, True, True, True]","[161, 8, 164, 448, 47]",0.4814814814814814
"[True, True, True]","[122, 3372, 52]","[False, True, False, False]","[1307, 15, 14638, 24]",0.6666666666666666
"[False, True, False, True, False]","[188, 3993, 745, 1450, 9873]",[],[],0.2962962962962963
"[True, False]","[1, 697]",[],[],0.2962962962962963
"[True, True, True, True]","[58, 1, 1, 1107]","[True, True, True]","[4, 31, 3]",0.4074074074074074
"[True, True, True, True, True, True]","[124, 153, 988, 3033, 30497, 7567]","[True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True]","[2229, 13, 7515, 1625, 9896, 4132, 844, 2768, 32, 12451, 1625, 433, 230, 455, 119, 47, 1247, 132, 26, 84, 48, 209, 246, 22, 0, 4354, 24, 8201, 203]",0.5555555555555555
"[True, True, True]","[22, 4468, 299]","[True, True, True, True]","[12, 13, 9237, 79]",0.5555555555555555
"[False, True, False, False]","[0, 0, 0, 0]",[],[],0.4814814814814814
"[True, True, True]","[15, 914, 1947]",[],[],0.5185185185185185
"[True, False, True, True, True]","[57, 979, 511, 923, 11048]","[True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]","[2960, 16, 1737, 10821, 158, 1304, 203, 257, 14, 8832, 8621, 8, 2633, 4996, 278, 92, 2248, 2284, 3241, 6393, 21, 443, 1848, 7668, 1548, 67, 35, 17219, 52, 424, 95, 503, 0, 66, 921, 18572, 10, 113, 5701]",0.5555555555555555
"[True, True, True, True]","[13, 853, 3808, 5373]","[False, False, True, True, True, True, False, False]","[441, 0, 13, 4170, 152, 1, 2631, 462]",0.7037037037037037
"[True, False, False]","[14, 235, 989]",[],[],0.3333333333333333
"[True, True]","[25, 13853]","[True, False, True, True, True, False, True, True]","[19, 0, 22, 2038, 70, 133, 148, 804]",0.6296296296296297
"[True, True]","[100, 203]",[],[],0.6666666666666666
"[True, True, True]","[0, 0, 1589]",[True],[26],0.6296296296296297
"[True, False]","[8, 5468]",[],[],0.5925925925925927
"[True, True, True, True, True, True]","[0, 22, 4, 33, 151, 11362]",[],[],0.4814814814814814
"[True, True]","[3, 0]",[],[],0.48148148148148145
"[True, True, True, True, True]","[17, 920, 3413, 39932, 13502]","[False, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True]","[382, 1036, 51, 1457, 46, 516, 5182, 17328, 335, 204, 8, 661, 0, 5511, 20, 5707, 31, 40, 10048, 2, 51, 0, 29, 17328, 42, 284, 514, 0, 0, 23, 815, 105, 14558, 2, 1368, 518, 19312, 8201, 7308, 205, 1672, 5373, 11, 30, 77767, 6953, 66, 14, 47, 655, 6, 15179, 25, 8, 2756, 644, 3547, 23, 25, 84, 1, 284, 12, 15, 37, 8, 49, 1904, 29, 99, 16, 11274, 0, 8, 67856, 920, 99, 1, 12631, 5879, 53, 116, 20, 4]",0.6296296296296297
"[True, True, True]","[180, 90, 50207]","[False, False, True, True, True, True, False, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]","[45306, 289, 10456, 365, 180, 1718, 128, 2768, 5532, 10105, 840, 53, 285, 2413, 3372, 32, 142, 89, 1217, 969, 32, 164, 33815, 1358, 30, 707, 5047, 1539, 8201, 29]",0.2962962962962963
"[False, False, True, True]","[0, 793, 0, 266]",[],[],0.48148148148148145
"[True, False, True]","[2, 14558, 10821]","[True, False, False, True, False, True, True, True, False, True, False, True, False, False, True, False, True, True, False, True, True, True]","[13, 567, 0, 6393, 9, 920, 128, 31, 660, 18, 867, 3413, 11, 512, 11048, 1727, 20, 278, 1824, 39, 24, 7308]",0.3333333333333333
"[False, False, True]","[45, 2, 1262]",[],[],0.5925925925925927
"[True, True, True, True, False]","[46, 329, 122, 176, 6888]",[],[],0.25925925925925924
"[True, True]","[9, 1178]",[],[],0.4444444444444445
"[True, False, False, False]","[12, 1, 12, 5197]",[],[],0.4814814814814814
"[True, True, True, False]","[0, 367, 2222, 16720]",[],[],0.40740740740740744
"[True, True, False, True, True]","[2337, 3389, 648, 1744, 0]",[],[],0.48148148148148157
"[False, False, False, False, False]","[15095, 3, 39, 152, 1467]",[],[],0.5925925925925924
"[False, True, True, True]","[4409, 10, 1315, 932]","[True, False, False, False, True, False, True]","[267, 12714, 35233, 22, 10456, 6744, 246]",0.5555555555555557
"[False, True, True, True, True]","[7668, 113, 203, 11048, 1848]","[True, True, True, True, False, True, True, True, False, True, True, False, True, False, True, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True]","[2960, 16, 1737, 10821, 77767, 158, 1304, 14, 7030, 511, 8832, 8621, 8, 2633, 4996, 278, 92, 2284, 3241, 6393, 9332, 21, 443, 4, 1548, 3879, 35, 17219, 52, 424, 95, 503, 744, 10, 3036, 66, 923, 921, 485, 10, 57, 979, 5701, 518]",0.5555555555555555
[True],[70],[],[],0.3333333333333333
"[True, True, True]","[31, 44, 959]","[True, True, True, False, True, False, True, True, True, True, True, True]","[32, 1905, 119, 16295, 2, 0, 20, 251, 381, 978, 1030, 0]",0.44444444444444436
"[True, True]","[5, 364]",[],[],0.48148148148148157
"[True, False, False, False]","[28, 297, 624, 175]","[False, False, False]","[1323, 1536, 4795]",0.4444444444444444
"[True, True, True]","[438, 1841, 48334]","[True, True]","[1, 99]",0.4814814814814814
"[True, True, True]","[1289, 578, 305]","[True, True, False, True, True, True, True, True]","[2, 30, 60, 6927, 6176, 522, 0, 304]",0.7037037037037037
"[False, True, True, True, False]","[65, 804, 1064, 289, 5823]","[False, False, False, True, False, False, True, False, False, False, False, False]","[12, 10, 0, 1078, 29, 77767, 116, 23, 568, 58, 613, 10]",0.4074074074074074
"[False, False, False, False]","[7, 649, 7, 6490]","[False, False]","[224, 1545]",0.6296296296296297
"[True, True, True]","[1, 28, 1367]",[],[],0.3333333333333333
"[True, True, False]","[4, 68, 34698]","[True, True, True, True, True, True, True, True, True, True, True, True, True]","[6719, 287, 226, 1793, 1863, 88, 208, 6360, 27, 248, 1, 1, 34]",0.6666666666666666
"[False, True, True, False, True, False, True, False, True, True, False]","[483, 92, 8, 781, 478, 12173, 20, 3672, 508, 1000, 2964]","[True, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True, False]","[135, 18844, 1067, 6953, 645, 2, 0, 88, 109, 153, 49, 1054, 1929, 2720, 781, 90, 161, 15901, 1853, 746, 60, 0, 3180, 18623, 1424, 0, 100, 0]",0.6296296296296295
"[False, False, False]","[0, 44, 54]",[],[],0.2962962962962963
"[True, False]","[19, 1307]","[False, True, True, False, True, False, True, True, True, True, True, True, True, True]","[0, 10456, 0, 14638, 246, 24, 244, 815, 0, 1, 16844, 52, 15, 284]",0.6666666666666666
"[False, False, False, False]","[19, 20305, 20, 42939]","[True, True, False, False]","[491, 669, 1166, 60]",0.3333333333333333
"[True, True, False]","[150, 669, 2332]",[],[],0.48148148148148157
"[False, False, True]","[14, 4095, 16038]",[],[],0.3333333333333333
"[True, False, True, False, True]","[12, 28647, 38, 6187, 16841]","[True, True, True, True, False]","[232, 3453, 472, 4, 21874]",0.5925925925925926
"[True, True, True, True]","[0, 0, 20, 126]",[],[],0.40740740740740744
"[False, False, False, True, False, True, False]","[39262, 1447, 0, 254, 0, 284, 1683]","[True, True, True, True, True, True, False, True]","[815, 3413, 5511, 4, 644, 19312, 1307, 244]",0.3703703703703704
"[True, True]","[16, 8267]","[True, True, True, True, True, True, True, True, True, True, True, True]","[312, 4989, 35, 5944, 325, 438, 496, 4018, 42996, 6513, 29, 426]",0.5925925925925926
"[False, True]","[14625, 3184]",[],[],0.6666666666666666
"[False, True, True]","[723, 887, 11636]","[True, True, False, True, False, False, True, True, False, True, False, False, True, True, True]","[45, 0, 0, 2721, 2671, 0, 79, 1873, 94, 130, 166, 8183, 132, 126, 121]",0.6296296296296297
"[True, True, True, True, True]","[83, 37, 60, 815, 19312]","[True, True, True, True, True, False, True, True, True, False, True, True]","[3413, 34, 86, 325, 5511, 0, 82, 284, 48334, 1307, 98, 244]",0.5555555555555555
"[True, True]","[354, 187]",[],[],0.3703703703703703
"[True, True]","[52, 67856]","[True, True, True, True, True, True, True, True, True]","[1036, 25, 17328, 12, 31, 655, 11274, 15, 39932]",0.5185185185185185
"[False, False, False]","[0, 971, 5347]",[],[],0.2962962962962963
"[True, False, True, False]","[27, 0, 4779, 18181]",[],[],0.5185185185185185
"[False, True, True, True, True, True]","[1181, 70, 409, 7447, 18208, 28127]","[True, False, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, False, False, True, False, False]","[4, 382, 6, 37, 14, 224, 223, 3978, 331, 6446, 0, 4898, 6, 488, 684, 1638, 2521, 18, 16801, 246, 115, 17879, 409]",0.5555555555555556
"[True, True]","[19, 1509]","[True, False, True, True]","[9, 22403, 11747, 14]",0.6666666666666666
"[False, True, False]","[1449, 3612, 700]",[],[],0.4444444444444444
"[True, True, True, True, True]","[426, 496, 438, 5944, 8267]","[True, True, True, True, True, True, True, True, True]","[312, 4989, 35, 325, 4018, 16, 42996, 6513, 29]",0.5555555555555555
"[True, True, True, False, True, True, True]","[744, 65, 17, 9332, 82, 3879, 3036]","[True, True, True, True, True, True, True, False, True]","[1848, 17, 1206, 485, 424, 92, 1055, 1305, 518]",0.5925925925925926
"[True, True, True, True, True, True, True, True, True, True]","[18, 1697, 5511, 237, 32, 9, 1491, 1026, 1156, 8519]","[True, True, True, False, True, True, False, True, True, True, False, True, False, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True]","[46, 103, 655, 888, 12226, 188, 6, 1369, 4008, 5511, 860, 2277, 127, 1706, 96, 3372, 306, 226, 2927, 810, 3988, 337, 804, 3354, 3257, 142, 14891, 9920, 2152, 0, 1, 121, 14, 12226, 31, 4765, 475, 242, 180, 682, 14062, 888, 75, 113, 116, 203]",0.2222222222222222
"[True, False, False]","[949, 908, 5770]",[],[],0.3333333333333333
"[False, False]","[0, 2616]","[True, False, False, False, False, False]","[1787, 33, 5, 334, 25, 14]",0.3703703703703704
"[True, True, True, True, True, True, True]","[147, 21, 8, 677, 10, 1217, 1141]","[False, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, False, False, True, True, True, True]","[15, 74, 289, 9896, 10456, 1718, 304, 326, 138, 12, 40, 0, 53, 659, 645, 10456, 960, 55, 29166, 29, 9, 0, 89, 48, 1146, 260, 956, 0, 668, 152, 109247, 116, 50207, 310]",0.7037037037037037
"[True, True, True, True, False]","[321, 335, 522, 2256, 23596]",[True],[0],0.5555555555555555
"[True, True]","[7, 6474]",[],[],0.4444444444444444
"[False, True]","[0, 25431]","[False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[2859, 85, 142, 7623, 0, 146, 1055, 88, 114, 0, 3336, 71, 2165, 0, 979, 90, 134, 117, 92, 1638, 92, 248, 10841, 3133]",0.3703703703703703
"[True, True, True]","[47, 116, 1799]","[True, True, True, True, False, True, True, True, False, True, False, True, False, True, False, True, True, True, False, True]","[1697, 2927, 74, 46, 77767, 3988, 1217, 162, 1146, 47, 0, 12226, 363, 3413, 25, 18, 1502, 109247, 23, 14062]",0.5555555555555556
"[True, True, True, True, True]","[291, 82, 32, 956, 4874]","[True, True, True, True, False, True, False, False]","[979, 715, 123, 22, 14638, 75, 64, 212]",0.48148148148148145
"[True, False]","[206, 12]",[],[],0.3333333333333333
"[True, False, True, True, True, True]","[180, 128, 90, 50207, 840, 8201]","[False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True]","[45306, 289, 971, 10456, 51, 1718, 171, 516, 5532, 248, 350, 335, 3413, 25, 20, 2413, 10841, 48, 14, 1912, 32, 142, 920, 89, 1217, 47, 51, 42, 32, 9, 0, 164, 328, 105, 46, 3033, 988, 148, 707, 5047, 1539, 41, 44, 11, 30, 33, 2768, 32, 53, 2756, 8, 180, 84, 2, 8, 1904, 969, 24, 116, 920, 404, 1358, 30, 0, 20, 29]",0.7777777777777777
"[False, True, False, True]","[0, 192, 413, 304]",[],[],0.3333333333333333
"[True, True, True]","[433, 149, 2919]","[True, True, True, True]","[78, 15, 177, 65]",0.6666666666666666
"[True, True, True]","[0, 578, 6927]","[True, True, False, True, True, True]","[2, 30, 60, 522, 305, 1289]",0.5185185185185185
"[True, False, True]","[8, 2670, 1075]","[False, True, True, False, True, True, True, True, True, True]","[0, 25, 11855, 392, 15, 142, 4, 11, 12, 1]",0.5555555555555556
"[True, True]","[906, 699]",[],[],0.1851851851851852
"[True, True, True, True]","[13, 69, 753, 1249]",[],[],0.4074074074074074
"[False, True]","[0, 1075]","[True, True, False, True, True, True, True, True, True, False, True]","[25, 11855, 392, 15, 4, 142, 11, 8, 12, 2670, 1]",0.5555555555555556
[False],[0],[],[],0.25925925925925924
"[False, True, True, True]","[0, 6448, 938, 31904]","[True, False, True, True, False]","[964, 6, 21690, 378, 2194]",0.7037037037037037
"[True, True, True, True, True]","[956, 645, 960, 1141, 1217]","[True, False, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, False, True, False, False, True, False, False, True, True, True, True]","[74, 289, 9896, 10456, 21, 1718, 304, 147, 12, 10, 40, 53, 659, 10456, 55, 29166, 29, 8, 9, 0, 89, 48, 1146, 677, 668, 152, 109247, 116, 50207, 310]",0.40740740740740744
"[True, False, True]","[169, 5589, 3233]",[],[],0.5185185185185185
"[True, True, True]","[49, 3413, 6953]","[True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True]","[18844, 51, 487, 46, 516, 5182, 17328, 204, 335, 8, 0, 5511, 20, 2726, 40, 920, 10048, 2, 51, 29, 13502, 42, 284, 0, 0, 23, 815, 105, 2, 14558, 518, 19312, 8201, 7308, 205, 1672, 5373, 11, 30, 77767, 66, 47, 17, 49, 39932, 6, 25, 8, 644, 23, 1853, 84, 284, 801, 37, 8, 1904, 29, 99, 16, 20, 11274, 0, 920, 99, 12631, 53, 116, 20, 4]",0.4814814814814814
"[True, False, True, True]","[31, 567, 12, 10456]","[True, True, True, False, False, True, True, False, True, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, False, True, False, False, False, True, True, True, True, False]","[621, 13, 16, 9, 289, 9896, 1384, 1528, 1718, 19, 12451, 22, 1035, 512, 621, 53, 81, 8, 70, 215, 12916, 14437, 1035, 29166, 707, 310, 192, 175, 0, 942, 89, 1217, 2, 170, 10, 246, 867, 1, 14558, 8, 6744, 24, 10, 23, 50207, 0]",0.5925925925925926
"[True, True]","[1, 38578]",[],[],0.6666666666666666
"[False, False, True, False]","[55, 1528, 37, 1521]","[True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, False, True, True, True, False, True, True, False, True, False, False, True, True, False]","[621, 16, 9896, 10456, 77767, 463, 138, 3413, 621, 4996, 137, 81, 10456, 215, 3241, 14437, 1035, 192, 16, 1395, 10048, 1217, 48, 182, 14638, 87, 3680, 3197, 404]",0.48148148148148145
"[False, False, False]","[6, 391, 364]",[],[],0.6666666666666666
"[True, True, True]","[79, 887, 11636]","[False, True, True, True, False, False, False, True, True, True, False, True, True, False, False, False, True, True, True, True]","[872, 45, 0, 9970, 2671, 0, 0, 2721, 15, 1873, 94, 130, 12106, 723, 166, 8183, 126, 132, 760, 121]",0.5555555555555555
"[True, True, True]","[88, 946, 3064]","[False, True, False]","[87, 15, 6230]",0.5555555555555555
"[False, False]","[0, 0]","[True, False, True]","[0, 1307, 0]",0.2962962962962962
"[True, True, True, False]","[18, 10821, 39, 660]","[False, True, True, True, False, False, True, False, True, True, True, True]","[11, 3440, 11048, 6393, 14558, 1727, 278, 1824, 128, 31, 17, 2]",0.5925925925925927
"[True, False, True]","[14, 2152, 474]","[True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, False, True, True]","[226, 1697, 97, 90, 804, 3354, 84, 888, 14891, 9920, 372, 1, 1369, 12226, 5511, 971, 242, 28, 180, 2277, 845, 888, 350, 8060, 3575, 7566]",0.6666666666666666
"[False, True, False]","[0, 1937, 0]",[],[],0.4444444444444444
"[True, False, True, True]","[22, 48, 203, 3033]","[True, False, True, True, False, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True]","[13, 7515, 1625, 124, 517, 46, 9896, 592, 4132, 707, 844, 2768, 32, 12451, 7567, 153, 230, 30497, 55, 455, 47, 1247, 132, 1217, 26, 84, 209, 97, 14, 246, 0, 988, 0, 4354, 24, 8201]",0.5555555555555556
"[True, False, False, False, True]","[18, 61, 3148, 154, 15]",[],[],0.6666666666666666
"[False, False, False, False, False, True]","[2974, 0, 0, 0, 0, 19]",[],[],0.5555555555555556
"[True, False]","[6, 12516]",[],[],0.5925925925925927
"[False, True, False, True, False, True, True]","[3705, 753, 127, 1247, 844, 11, 3257]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[10106, 32, 71, 103, 6708, 0, 32, 1156, 5667, 188, 16, 216, 4008, 5511, 21, 10194, 230, 146, 1706, 96, 3372, 3364, 1697, 134, 810, 8519, 219, 142, 894, 266, 9920, 0, 246, 14891, 163, 130, 4765, 3033, 12289, 4116, 57, 113, 927, 75, 12, 203]",0.4814814814814814
"[True, True, True, False]","[25, 68, 654, 1267]",[],[],0.6296296296296297
"[False, True, True, True, True, True, True, False]","[10, 7, 0, 0, 36, 101, 0, 6710]","[True, False, True, True, True, True, True, False, True, False, True, True, True, False, True]","[430, 0, 4021, 0, 0, 8, 164, 0, 0, 40, 36, 0, 16, 0, 301]",0.48148148148148157
"[True, True, False, False]","[67, 0, 1364, 237]",[],[],0.48148148148148145
"[True, False, True, True]","[4, 0, 362, 77]","[True, True, False]","[81, 69, 258]",0.6666666666666666
"[True, False, True, True, False]","[74, 15901, 645, 60, 781]","[True, True, True, True, False, True, False, True, True]","[478, 645, 2, 88, 18623, 92, 22271, 153, 100]",0.4074074074074074
"[True, True, True, True]","[716, 225, 8, 5067]","[True, True]","[326, 1797]",0.6296296296296297
"[False, True, True]","[1399, 653, 2091]",[],[],0.2962962962962963
"[False, False, False, False]","[54, 43, 300, 2014]",[True],[42996],0.3703703703703703
"[True, True, True]","[37, 1638, 18208]","[False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, False, False, True, False, True, False]","[382, 4, 1181, 7447, 6, 28127, 14, 224, 223, 3978, 331, 6446, 0, 4898, 6, 488, 684, 70, 2521, 18, 16801, 246, 115, 17879, 409, 409]",0.6296296296296297
"[True, False]","[117, 524]","[True, False, True]","[1319, 0, 117]",0.1851851851851852
"[True, False]","[0, 0]",[True],[1144],0.5185185185185185
"[True, True]","[92, 25431]","[False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[2859, 0, 85, 142, 7623, 0, 146, 1055, 88, 114, 5701, 0, 3336, 71, 2165, 8832, 0, 11048, 979, 90, 134, 117, 4996, 923, 1638, 92, 248, 10841, 3133]",0.7037037037037036
"[True, True, True, True, True, True, True]","[147, 21, 8, 677, 10, 1217, 1141]","[False, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, False, False, True, True, True, True]","[15, 74, 289, 9896, 10456, 1718, 304, 326, 138, 12, 40, 0, 53, 659, 645, 10456, 960, 55, 29166, 29, 9, 0, 89, 48, 1146, 260, 956, 0, 668, 152, 109247, 116, 50207, 310]",0.7037037037037037
"[True, True, True, True, False]","[321, 335, 522, 2256, 23596]",[True],[0],0.5555555555555555
"[True, True, True, False, True, True, True]","[744, 65, 17, 9332, 82, 3879, 3036]","[True, True, True, True, True, True, True, False, True]","[1848, 17, 1206, 485, 424, 92, 1055, 1305, 518]",0.5925925925925926
"[True, False]","[282, 567]",[],[],0.4814814814814814
"[True, False, False]","[949, 908, 5770]",[],[],0.3333333333333333
"[False, False]","[0, 2616]","[True, False, False, False, False, False]","[1787, 33, 5, 334, 25, 14]",0.3703703703703704
"[True, True, True, True]","[11, 740, 140, 25341]",[],[],0.3703703703703704
"[False, False]","[5123, 32544]",[],[],0.40740740740740744
"[False, True]","[0, 196]",[],[],0.4074074074074074
"[True, True, False]","[2, 1019, 1942]",[],[],0.4444444444444444
"[False, False, False]","[4, 8707, 31]","[True, False, False, False, False]","[128, 115, 8, 2816, 83]",0.6296296296296297
"[True, True, True, True, False, True, False]","[669, 565, 0, 743, 331, 134, 13971]",[False],[1511],0.5925925925925926
"[True, True, True, True]","[20, 1159, 1112, 216]",[],[],0.6296296296296297
"[False, False, False]","[0, 0, 3649]","[False, True]","[0, 937]",0.7037037037037037
"[False, False, False, False]","[649, 224, 1545, 6490]","[False, False]","[7, 7]",0.5277777777777778
[True],[19],[],[],0.2962962962962962
"[True, True, True, True]","[59, 5, 1574, 8119]","[True, True, True, True]","[0, 313, 21690, 56]",0.4074074074074074
"[True, True]","[23, 5552]","[True, True, True, True, True, True]","[0, 4, 2490, 193, 2559, 14097]",0.48148148148148145
"[True, True, True, False]","[4, 3, 3, 26]","[False, True]","[79, 3]",0.5185185185185185
"[True, True, True]","[31, 278, 10821]","[True, False, True, False, False, False, True, False, True, True, True]","[11048, 11, 6393, 14558, 1727, 1824, 128, 660, 2, 39, 18]",0.48148148148148145
"[True, True, True, True]","[868, 6, 12, 2256]","[True, True, True, True, True, True, True]","[6, 0, 1502, 43, 84, 13326, 219]",0.6296296296296297
"[True, True, True, True, False]","[46, 329, 122, 176, 6888]",[],[],0.25925925925925924
"[True, False, False, True, True, True]","[24, 0, 0, 201, 709, 9798]",[],[],0.3703703703703704
"[False, True]","[14, 6927]",[],[],0.40740740740740744
"[True, True]","[64, 669]",[],[],0.6296296296296297
