isolated prestige,isolated citations,relational prestige,relational citations,review score
"[False, False, False]","[1036, 988, 1041]","[False, True, True, True]","[5036, 836, 643, 688]",0.8
"[False, True]","[16, 190]",[],[],0.8
"[True, True, False, True]","[13, 151, 0, 66]","[True, False, True, True, True, False, True, True]","[12, 446, 22816, 12289, 2088, 1911, 13, 37]",0.7
"[False, True, True, True, True, True]","[387, 427, 9, 2280, 1352, 3]",[],[],0.4
"[False, False]","[77, 283]","[False, True, False, False]","[0, 65, 77767, 634]",0.5
[False],[0],[],[],0.0
"[False, True]","[0, 995]","[True, False]","[101, 0]",0.2
[True],[53],[],[],0.4
"[True, True, True, True, True]","[23, 187, 143, 9970, 3997]","[True, False, False, False]","[394, 222, 0, 20176]",0.8
"[False, True, False, True]","[0, 1058, 1479, 720]","[True, True, False, False, False, True, True, False, True, True, False]","[60, 580, 2340, 517, 1117, 3, 1152, 14638, 641, 2, 16375]",0.6
"[False, False, False, False, False]","[639, 1552, 10093, 1266, 5966]","[False, False, True, False, True]","[59, 2002, 103, 17160, 16]",0.6000000000000001
"[True, False]","[3, 0]",[],[],0.5333333333333333
"[True, True, True]","[0, 223, 3506]",[],[],0.4
"[False, True, False, False]","[7748, 1, 199, 5501]","[False, False, False, False, False]","[746, 6694, 3, 0, 7]",0.8
"[False, True, False, True]","[7116, 65, 283, 757]","[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]","[4, 0, 77767, 15648, 5138, 14638, 19, 188, 483, 2, 34, 7, 37, 8, 283, 634]",0.5
"[True, False, False, True]","[119, 0, 0, 55]",[True],[189],0.4
"[True, True, True]","[11274, 14, 39932]","[False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, False, True, True]","[382, 1672, 205, 1036, 30, 1457, 655, 17, 17328, 661, 3413, 15179, 2756, 3547, 25, 5707, 1, 31, 12, 15, 920, 0, 29, 17328, 13502, 514, 8, 67856, 0, 1, 12631, 5879, 1368]",0.6000000000000001
"[False, False]","[3, 548]",[],[],0.6000000000000001
"[False, False, False, True, True]","[60, 92, 0, 468, 423]","[True, True, True, True, True, True]","[141, 3, 240, 79, 3, 266]",0.7
[False],[0],[],[],0.2
"[False, True, True, False]","[0, 995, 101, 0]",[],[],0.2
"[True, True]","[137, 465]",[],[],0.9
"[True, True, True, False, True, True]","[1, 11, 2, 0, 634, 105]","[False, False]","[0, 0]",0.6000000000000001
"[False, True, False, True, False]","[1, 8, 0, 39932, 1457]","[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, True]","[382, 1672, 205, 30, 1036, 14, 655, 17, 17328, 661, 3413, 15179, 2756, 3547, 25, 5707, 1, 31, 12, 15, 920, 29, 17328, 13502, 11274, 514, 0, 67856, 12631, 5879, 1368]",0.7
"[True, True]","[0, 205]",[True],[4],0.9
"[True, True]","[366, 9920]","[True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, False, True, True, True, True, False, True, True]","[1594, 1697, 9896, 1050, 3257, 146, 6708, 1531, 894, 888, 5667, 266, 14891, 2152, 163, 9629, 4008, 10194, 667, 242, 180, 4116, 1072, 75, 10919, 0, 1141, 60]",0.8
[True],[196],[],[],0.8
"[True, True, True]","[0, 23, 15]",[],[],0.2
"[True, False, False, False, True, True]","[19, 136, 20176, 0, 48334, 96]","[True, True, True, True, True, True, False, True, False, False, True, True, False, True, True, True, True, True, True, False, False, True, True]","[19770, 325, 8, 547, 244, 2466, 3361, 99, 178, 0, 95, 309, 2014, 34, 537, 8783, 815, 133, 39, 0, 32, 213, 48334]",0.7
"[True, False, False, True, True, True]","[205, 0, 12631, 1672, 3413, 39932]","[False, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True]","[382, 1036, 51, 1457, 46, 516, 5182, 17328, 204, 335, 8, 661, 0, 5511, 20, 5707, 31, 40, 920, 10048, 2, 51, 0, 29, 17328, 13502, 42, 284, 514, 0, 23, 815, 105, 2, 14558, 1368, 518, 19312, 8201, 7308, 5373, 30, 11, 77767, 6953, 66, 14, 47, 17, 655, 6, 15179, 25, 8, 2756, 644, 3547, 23, 25, 84, 1, 284, 12, 15, 37, 8, 49, 1904, 29, 99, 16, 11274, 0, 8, 67856, 920, 99, 1, 5879, 53, 116, 20, 4]",0.48148148148148145
"[True, True, True, True]","[84, 8, 8201, 3413]","[False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True]","[45306, 90, 971, 51, 171, 46, 516, 5182, 5532, 248, 350, 17328, 335, 204, 8, 840, 25, 0, 5511, 20, 20, 48, 40, 14, 32, 142, 920, 47, 10048, 2, 51, 29, 42, 13502, 284, 9, 32, 0, 0, 328, 23, 815, 105, 46, 2, 14558, 3033, 988, 518, 19312, 707, 5047, 1539, 41, 7308, 44, 205, 1672, 5373, 11, 30, 77767, 6953, 180, 128, 66, 32, 2768, 47, 17, 39932, 6, 25, 2756, 8, 644, 23, 2, 284, 37, 49, 1904, 29, 24, 116, 99, 16, 11274, 0, 920, 99, 12631, 1358, 53, 30, 0, 116, 50207, 20, 29, 4]",0.4444444444444444
"[True, False, False, True, True, False]","[2, 37, 8, 65, 4, 14638]","[False, False, True, True, False, False, True, False, False, True, False, False, True, False, True, True, False, False, False, True, False, True, False, False, True, True, False, True, False, False, True, False, False, True, False, False, True, False, False, False, True, False, True, False, False, True, True, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True]","[5138, 20, 1174, 139, 545, 188, 51, 1307, 136, 11, 709, 0, 52, 4, 15, 2, 283, 568, 634, 18, 37, 1264, 0, 10, 1619, 148, 483, 3680, 89, 34, 704, 65, 1117, 803, 613, 64, 0, 212, 517, 77767, 2957, 24, 12226, 463, 13, 580, 60, 283, 8, 2294, 188, 7, 12087, 0, 1967, 3241, 37, 4, 0, 915, 4892, 15648, 5138, 19, 147, 87, 50, 1, 509, 1967, 74, 222, 266, 757, 3197, 123, 7116, 1058, 4874]",0.5185185185185185
"[False, False, True, False, True]","[178, 32, 133, 2014, 48334]","[True, True, True, True, False, True, False, True, True, False, False, True, True, True, False, True, True, True, True, True, True, False, False, True, False, True]","[0, 96, 325, 547, 20176, 244, 137, 19, 0, 0, 10105, 506, 34, 815, 0, 33, 0, 199, 564, 72, 8783, 8, 0, 20, 136, 213]",0.5555555555555556
"[True, True]","[6, 2]",[],[],0.5555555555555555
"[False, False, False, False, False]","[0, 0, 0, 619, 457]",[],[],0.3333333333333333
"[False, True, True, True, True]","[6880, 1213, 3994, 3, 8718]","[False, False, False, True, True, True, False, False, True, True, False]","[87, 3155, 577, 0, 337, 7623, 6230, 41, 0, 55, 1772]",0.48148148148148145
"[True, True, True, True, True, False, True]","[1217, 659, 1141, 956, 645, 668, 960]","[True, False, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, False, False, True, False, True, True, True, True]","[74, 289, 9896, 10456, 21, 1718, 304, 147, 10, 12, 40, 53, 10456, 55, 29166, 29, 8, 9, 0, 89, 48, 1146, 677, 152, 109247, 116, 50207, 310]",0.4444444444444445
"[True, True, True, True]","[1, 1, 4, 2486]",[],[],0.5277777777777778
"[False, True]","[6, 31904]","[True, True, True, False]","[938, 964, 6448, 0]",0.3333333333333333
